CHECK                COLUMN                              ISSUE                         ROWS       %  STATUS
------------------------------------------------------------------------------------------------------------
completeness         SEX                                 null values                      0    0.00  PASS
completeness         INSR_BEGIN                          null values                      1    0.00  FAIL
completeness         INSR_END                            null values                      1    0.00  FAIL
completeness         EFFECTIVE_YR                        null values                      5    0.00  FAIL
completeness         INSR_TYPE                           null values                      1    0.00  FAIL
completeness         INSURED_VALUE                       null values                      1    0.00  FAIL
completeness         PREMIUM                             null values                     22    0.00  FAIL
completeness         OBJECT_ID                           null values                      1    0.00  FAIL
completeness         PROD_YEAR                           null values                    170    0.02  FAIL
completeness         SEATS_NUM                           null values                    236    0.03  FAIL
completeness         CARRYING_CAPACITY                   null values                198,200   24.71  FAIL
completeness         TYPE_VEHICLE                        null values                      1    0.00  FAIL
completeness         CCM_TON                             null values                      9    0.00  FAIL
completeness         MAKE                                null values                      1    0.00  FAIL
completeness         USAGE                               null values                      2    0.00  FAIL
completeness         CLAIM_PAID                          null values                741,892   92.50  FAIL
completeness         bronze_processed_at                 null values                      0    0.00  PASS
uniqueness           OBJECT_ID + INSR_BEGIN + INSR_END   duplicate keys               1,899    0.24  FAIL
validity             PREMIUM                             zero or negative value          29    0.00  FAIL
validity             INSURED_VALUE                       zero or negative value     343,500   42.83  FAIL
validity             SEX                                 value not in [0, 1, 2]           1    0.00  FAIL
validity             INSR_BEGIN                          unparseable date (expected dd-MMM-yy)        0    0.00  PASS
validity             INSR_END                            unparseable date (expected dd-MMM-yy)        0    0.00  PASS
consistency          INSR_END vs INSR_BEGIN              end date before start date        0    0.00  PASS
